sample_id,source_population,lead_id,lead_type,constraint_blocker,source_family,route_family,priority_bucket,lead_score,source_name,source_tier,target_state,inferred_year,temporal_signal_present,term_signal_present,place_signal_present,url_domain,duplicate_status,sample_stratum,redaction_note,source_chain_complete,original_source_identifiable,evidence_source_adequate,date_available,term_available,source_stated_place_available,ethics_sensitive,record_eligible,map_eligible,reason_not_eligible,reviewer_notes
audit_031,target_gap_leads,tgl_627edd10c9e7b1192b250139,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,heritage_register,heritage_register,PRIORITY_LEAD,100.0,National Trust ACT,B,ACT,1957,1,1,1,nationaltrust.org.au,unchecked,strict_record_gate_not_met / heritage_register,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_032,target_gap_leads,tgl_b15a8001a9837b9dcd9e5878,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,local_history_serial,local_history_serial,PRIORITY_LEAD,100.0,Central Australian Historical Society,B,NT,1958,1,1,1,cahs.com.au,unchecked,strict_record_gate_not_met / local_history_serial,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_033,target_gap_leads,tgl_ee64218ad0ad185137cbd5de,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,national_archive_catalogue,national_archive_catalogue,PRIORITY_LEAD,100.0,National Archives of Australia RecordSearch,A,TAS,1931,1,1,1,recordsearch.naa.gov.au,unchecked,missing_item_url / national_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_034,target_gap_leads,tgl_cf748a17c6a274db03796c81,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,national_archive_catalogue,national_archive_catalogue,PRIORITY_LEAD,100.0,National Archives of Australia RecordSearch,A,NT,1929,1,1,1,recordsearch.naa.gov.au,unchecked,missing_item_url / national_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_035,target_gap_leads,tgl_fe6f22834a2afba21cee81ae,METADATA_ONLY_1955_1976_LEAD,missing_term,national_archive_catalogue,national_archive_catalogue,PRIORITY_LEAD,100.0,National Archives of Australia RecordSearch,A,ACT,1955,1,0,1,recordsearch.naa.gov.au,unchecked,missing_term / national_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_036,target_gap_leads,tgl_1839c9d2d405982b88e5b217,METADATA_ONLY_1955_1976_LEAD,missing_term,national_library_catalogue,national_library_catalogue,PRIORITY_LEAD,100.0,NLA Catalogue,A,TAS,1957,1,0,1,catalogue.nla.gov.au,unchecked,missing_term / national_library_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_037,target_gap_leads,tgl_ff92ab4c15d7388f120edc2c,METADATA_ONLY_1955_1976_LEAD,missing_date,structured_endpoint,museum_heritage_page,HOLD,25.0,Western Australian Museum,A,WA,,0,0,1,museum.wa.gov.au,canonical,missing_date / structured_endpoint,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_038,target_gap_leads,tgl_7d60c0e02031ecf8606bc9fc,ROBOTS_BLOCKED_NEAR_MISS,robots_unknown,ATOM_AtoM,museum_heritage_page,BLOCKED_ROBOTS,85.0,Western Australian Museum,A,WA,1940,1,0,0,museum.wa.gov.au,duplicate,robots_unknown / ATOM_AtoM,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_039,target_gap_leads,tgl_acf3062535de2c26da9375c4,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,state_archive_catalogue,state_archive_catalogue,PRIORITY_LEAD,100.0,ANU Archives,A,ACT,1959,1,1,1,archivescollection.anu.edu.au,unchecked,strict_record_gate_not_met / state_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_040,target_gap_leads,tgl_84cd705ec1fd072e52345121,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,museum_heritage_page,museum_heritage_page,PRIORITY_LEAD,100.0,History Trust of South Australia,B,SA,1962,1,1,1,history.sa.gov.au,unchecked,missing_item_url / museum_heritage_page,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_041,target_gap_leads,tgl_c4e0c398eaee93ea7c246fea,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,council_local_studies,council_local_studies,PRIORITY_LEAD,100.0,Fremantle History Centre,B,WA,1960,1,1,1,fremantle.wa.gov.au,unchecked,strict_record_gate_not_met / council_local_studies,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_042,target_gap_leads,tgl_c7b495043934490883bf4291,ROBOTS_BLOCKED_NEAR_MISS,missing_date,RSS_ATOM,bibliographic_discovery,HOLD,15.0,Open Library,E,NATIONAL,,0,0,0,openlibrary.org,duplicate,missing_date / RSS_ATOM,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_043,target_gap_leads,tgl_97f532597f726c77e1bbe93f,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,state_library_catalogue,state_library_catalogue,PRIORITY_LEAD,100.0,Library & Archives NT Catalogue,A,NT,1959,1,1,1,lant.nt.gov.au,unchecked,strict_record_gate_not_met / state_library_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_044,target_gap_leads,tgl_09b0395e8f2788cc384416e1,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,broadcast_catalogue,broadcast_catalogue,PRIORITY_LEAD,100.0,NFSA Collection,A,SA,1933,1,1,1,nfsa.gov.au,unchecked,missing_item_url / broadcast_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_045,target_gap_leads,tgl_a48c2e3d410d117fbf02473c,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,state_library_catalogue,state_library_catalogue,PRIORITY_LEAD,100.0,Libraries Tasmania Catalogue,A,TAS,1933,1,1,1,libraries.tas.gov.au,unchecked,missing_item_url / state_library_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_046,target_gap_leads,tgl_9c0619bea13206eb2dc932bc,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,council_local_studies,council_local_studies,PRIORITY_LEAD,100.0,Burnie and Devonport Local History,B,TAS,1931,1,1,1,devonport.tas.gov.au,unchecked,missing_item_url / council_local_studies,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_047,target_gap_leads,tgl_c211153b54cd09b73ea00554,METADATA_ONLY_1955_1976_LEAD,missing_date,structured_endpoint,museum_heritage_page,GOOD_LEAD,65.0,Western Australian Museum,A,WA,,0,0,1,museum.wa.gov.au,canonical,missing_date / structured_endpoint,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_048,target_gap_leads,tgl_c0cd72a967e983c13d445071,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,heritage_register,heritage_register,PRIORITY_LEAD,100.0,Heritage Tasmania Register,A,TAS,1955,1,1,1,heritage.tas.gov.au,unchecked,strict_record_gate_not_met / heritage_register,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_049,target_gap_leads,tgl_41a472c459128e56a532790a,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,museum_heritage_page,museum_heritage_page,PRIORITY_LEAD,100.0,Western Australian Museum Collections,B,WA,1945,1,1,1,museum.wa.gov.au,unchecked,missing_item_url / museum_heritage_page,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_050,target_gap_leads,tgl_32c629fbe5174ecf43d48934,METADATA_ONLY_1955_1976_LEAD,missing_term,state_archive_catalogue,state_archive_catalogue,PRIORITY_LEAD,100.0,ANU Archives,A,ACT,1976,1,0,1,archivescollection.anu.edu.au,unchecked,missing_term / state_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
