record_id,old_record_id_or_candidate_id,previous_place,previous_latitude,previous_longitude,previous_location_role,current_place_name,current_state_territory,current_country,current_latitude,current_longitude,current_location_type,current_relation_type,current_verification_status,current_geocode_source,source_evidence_text,queue_reason,required_source_place_confirmation,required_gazetteer_coordinate_verification,required_state_match_check,required_not_publication_place_check,required_verification_status_update,promotion_status,review_note
889,889,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1965 - Sydney Sun Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1965 - Sydney Sun Yowie Article"
890,890,"Brisbane, QLD",-27.4689623,153.0235009,reported_place,"Brisbane, QLD",QLD,Australia,-27.4689623,153.0235009,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1970 - Courier Mail Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Brisbane, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1970 - Courier Mail Yowie Article"
893,893,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1976 - Sydney Sun Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1976 - Sydney Sun Yowie Article"
928,928,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1987 - Sydney Sun Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1987 - Sydney Sun Yowie Article"
936,936,"Brisbane, QLD",-27.4689623,153.0235009,reported_place,"Brisbane, QLD",QLD,Australia,-27.4689623,153.0235009,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1994 - Brisbane Daily Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Brisbane, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1994 - Brisbane Daily Yowie Article"
938,938,"Sunshine Coast, QLD",-26.7079095,152.8508329,reported_place,"Sunshine Coast, QLD",QLD,Australia,-26.7079095,152.8508329,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1994 - Sunshine Coast Magazine Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sunshine Coast Regional, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1994 - Sunshine Coast Magazine Yowie Article"
960,960,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,2012 - Sydney Telegraph Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 2012 - Sydney Telegraph Yowie Article"
980,980,"Sunshine Coast, QLD",-26.7079095,152.8508329,reported_place,"Sunshine Coast, QLD",QLD,Australia,-26.7079095,152.8508329,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,2017 - Sunshine Coast Daily Yowie Article 13-12-2017,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sunshine Coast Regional, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 2017 - Sunshine Coast Daily Yowie Article 13-12-2017"
983,983,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,2018 - Sydney Morning Herald Yowie Article 10-11-2018,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 2018 - Sydney Morning Herald Yowie Article 10-11-2018"
984,984,"Brisbane, QLD",-27.4689623,153.0235009,reported_place,"Brisbane, QLD",QLD,Australia,-27.4689623,153.0235009,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,2019 - Courier Mail Yowie Article 15-07-2019,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Brisbane, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 2019 - Courier Mail Yowie Article 15-07-2019"
1003,1003,"Brisbane, QLD",-27.4689623,153.0235009,reported_place,"Brisbane, QLD",QLD,Australia,-27.4689623,153.0235009,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,2021 - Courier Mail Yowie Article 07-02-2021,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Brisbane, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 2021 - Courier Mail Yowie Article 07-02-2021"
