schema_version,legacy_record_id,source_item_id,narrative_id,primary_record_role,migration_confidence,review_flags,title,source_type,source_tier,narrative_type,secondary_role,analysis_status,ethics_review_status,display_mode
2.0.0,221,215,213,first-class narrative source,medium,[],"Ashford, New South Wales 1980",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,222,216,214,first-class narrative source,medium,[],"Atherton, Queensland 1986",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,223,217,215,first-class narrative source,medium,[],"Billabong, Victoria 2000",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,224,218,216,first-class narrative source,medium,[],"Ashford, New South Wales 2008",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,225,219,217,first-class narrative source,medium,[],"Bahrs Scrub, Queensland 2009",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,226,220,218,first-class narrative source,medium,[],"Colac, Victoria 2013",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,227,221,219,first-class narrative source,medium,"[""original_article_verification_required""]","Bangalow, New South Wales 1969",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,228,222,220,first-class narrative source,medium,[],"Beachmere, Queensland 1982",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,229,223,221,first-class narrative source,medium,[],"Dufty's Beach - Murray River, Victoria 1987",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,230,224,222,first-class narrative source,medium,[],"Bara, New South Wales 2018",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,231,225,223,first-class narrative source,medium,[],"Beechmont, Queensland 2010",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,232,226,224,first-class narrative source,medium,[],"Emerald, Victoria 2011",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,233,227,225,first-class narrative source,medium,[],"Barclay's Island, New South Wales 1978",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,234,228,226,first-class narrative source,medium,[],"Beerwah, Queensland 1980",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,235,229,227,first-class narrative source,medium,[],"Falls Creek, Victoria 1999",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,236,230,228,first-class narrative source,medium,[],"Barrington Tops, New South Wales 1993",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,237,231,229,first-class narrative source,medium,[],"Beerwah, Queensland 1997",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,238,232,230,first-class narrative source,medium,[],"Grampians, Victoria 2016",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,239,233,231,first-class narrative source,medium,[],"Barrington Tops, New South Wales 2003",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,240,234,232,first-class narrative source,medium,[],"Bellthorpe, Queensland 2016",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,241,235,233,first-class narrative source,medium,[],"Harrietville, Victoria 1986",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,242,236,234,first-class narrative source,medium,[],"Barwon River, New South Wales 1998",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,243,237,235,first-class narrative source,medium,[],"Blackbutt, Queensland 2000",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,244,238,236,first-class narrative source,medium,[],"Hepburn Springs, Victoria 2019",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,245,239,237,first-class narrative source,medium,[],"Baryulgil, New South Wales 1980",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,246,240,238,first-class narrative source,medium,[],"Blackbutt, Queensland 2002",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,247,241,239,first-class narrative source,medium,[],"Hepburn Springs, Victoria 2020",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
