record_id,title,source_name,source_type,state_territory,date_band,year,ontology_code,url
647,1871 - Darling Downa Gazette,Australian Yowie Research,modern_web,QLD,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1640-darling-downa-gazette-1871
648,1871 - Illawarra Mercury Article,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1481-illawarra-mercury-article-1871
649,1871 - Illustrated Australian News,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1644-illustrated-australian-news-1871
650,"1871 - Queanbeyan Age, Jingera Sighted",Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1930-1871-queanbeyan-age-jingera-sighted
651,1871 - The Empire NSW,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1510-the-empire-article-1871
652,"1871 (1) - Empire, Sydney",Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1643-empire-sydney-1871-1
653,"1871 (2) - Empire, Sydney",Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1642-empire-sydney-1871-2
654,1871 (2) - Illawarra Mercury Article,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1482-illawarra-mercury-article-1871-2
655,"1871 (3) - Empire, Sydney",Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1641-empire-sydney-1871-3
856,1871 - Sydney Herald Yowie Article,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/media-clips/1719-1871-sydney-herald-yowie-article
1022,1871 - Manaro Mercury Article,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1484-manaro-mercury-article-1871
1865,ghosts in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,apparition_account,https://gutenberg.net.au/ebooks06/0602691.txt
1866,phantom in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,spirit_person_narrative,https://gutenberg.net.au/ebooks06/0602691.txt
1867,phantom in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,spirit_person_narrative,https://gutenberg.net.au/ebooks06/0602691.txt
1868,spirit in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,spirit_person_narrative,https://gutenberg.net.au/ebooks06/0602691.txt
1869,spirit in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,spirit_person_narrative,https://gutenberg.net.au/ebooks06/0602691.txt
1870,spirit in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,spirit_person_narrative,https://gutenberg.net.au/ebooks06/0602691.txt
1871,devil in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,spirit_person_narrative,https://gutenberg.net.au/ebooks06/0602691.txt
1872,devil in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,spirit_person_narrative,https://gutenberg.net.au/ebooks06/0602691.txt
1873,giant in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,giant_or_ogre_narrative,https://gutenberg.net.au/ebooks06/0602691.txt
